"id","instanceID","type","lastSeen","onOff","color","dimmer","protocolTime"
504,65556,2,1605972745,1,"f1e0b5",49,"2020-11-21T15:35:02.000Z"
505,65556,2,1605972745,1,"f1e0b5",28,"2020-11-21T15:35:03.000Z"
506,65556,2,1605972745,1,"f1e0b5",49,"2020-11-21T15:35:04.000Z"
507,65557,2,1605972763,1,"f1e0b5",50,"2020-11-21T15:35:05.000Z"
508,65557,2,1605972763,1,"f1e0b5",28,"2020-11-21T15:35:06.000Z"
509,65557,2,1605972763,1,"f1e0b5",50,"2020-11-21T15:35:07.000Z"
510,65555,2,1605971910,1,"f1e0b5",100,"2020-11-21T15:35:31.000Z"
511,65555,2,1605971910,1,"f1e0b5",35,"2020-11-21T15:35:32.000Z"
512,65555,2,1605971910,1,"f1e0b5",100,"2020-11-21T15:35:33.000Z"
513,65537,2,1605953602,1,"f1e0b5",51,"2020-11-21T15:35:37.000Z"
514,65549,2,1605953576,1,"f1e0b5",50,"2020-11-21T15:35:37.000Z"
515,65538,2,1605954823,1,"f1e0b5",48,"2020-11-21T15:35:37.000Z"
516,65545,2,1605917476,1,"efd275",100,"2020-11-21T15:35:44.000Z"
517,65547,2,1605971918,1,"f1e0b5",100,"2020-11-21T15:35:44.000Z"
518,65546,2,1605971925,1,"f1e0b5",100,"2020-11-21T15:35:44.000Z"
519,65545,2,1605917476,1,"efd275",58,"2020-11-21T15:35:44.000Z"
520,65546,2,1605971925,1,"f1e0b5",100,"2020-11-21T15:35:45.000Z"
521,65547,2,1605971918,1,"f1e0b5",100,"2020-11-21T15:35:45.000Z"
522,65545,2,1605917476,1,"efd275",100,"2020-11-21T15:35:45.000Z"
523,65546,2,1605971925,0,"f1e0b5",100,"2020-11-21T15:36:09.000Z"
524,65545,2,1605917476,0,"efd275",100,"2020-11-21T15:36:09.000Z"
525,65547,2,1605971918,0,"f1e0b5",100,"2020-11-21T15:36:09.000Z"
526,65545,2,1605917476,1,"efd275",100,"2020-11-21T15:36:18.000Z"
527,65546,2,1605971925,1,"f1e0b5",100,"2020-11-21T15:36:18.000Z"
528,65547,2,1605971918,1,"f1e0b5",100,"2020-11-21T15:36:18.000Z"
529,65557,2,1605972763,1,"f1e0b5",50,"2020-11-21T15:37:03.000Z"
530,65557,2,1605972763,1,"f1e0b5",50,"2020-11-21T15:37:20.000Z"
531,65557,2,1605972763,1,"f1e0b5",50,"2020-11-21T15:37:21.000Z"
532,65557,2,1605972763,1,"f1e0b5",50,"2020-11-21T15:37:21.000Z"
533,65557,2,1605973026,1,"f1e0b5",50,"2020-11-21T15:37:27.000Z"
534,65557,2,1605973026,1,"f1e0b5",50,"2020-11-21T15:37:29.000Z"
535,65557,2,1605973029,1,"f1e0b5",50,"2020-11-21T15:37:31.000Z"
536,65555,2,1605971910,1,"f1e0b5",100,"2020-11-21T15:39:21.000Z"
537,65555,2,1605971910,0,"f1e0b5",100,"2020-11-21T15:39:23.000Z"
538,65555,2,1605971910,1,"f1e0b5",100,"2020-11-21T15:39:24.000Z"
539,65556,2,1605972745,0,"f1e0b5",49,"2020-11-21T15:40:18.000Z"
540,65556,2,1605972745,1,"f1e0b5",49,"2020-11-21T15:40:20.000Z"
541,65556,2,1605972745,0,"f1e0b5",49,"2020-11-21T15:40:26.000Z"
542,65556,2,1605972745,1,"f1e0b5",49,"2020-11-21T15:40:26.000Z"
543,65556,2,1605972745,1,"f1e0b5",49,"2020-11-21T15:40:55.000Z"
544,65556,2,1605972745,1,"f1e0b5",49,"2020-11-21T15:41:12.000Z"
545,65556,2,1605972745,1,"f1e0b5",49,"2020-11-21T15:41:13.000Z"
546,65556,2,1605972745,1,"f1e0b5",49,"2020-11-21T15:41:13.000Z"
547,65555,2,1605971910,0,"f1e0b5",100,"2020-11-21T15:41:17.000Z"
548,65555,2,1605971910,1,"f1e0b5",100,"2020-11-21T15:41:18.000Z"
549,65556,2,1605973258,1,"f1e0b5",49,"2020-11-21T15:41:19.000Z"
550,65556,2,1605973258,1,"f1e0b5",49,"2020-11-21T15:41:21.000Z"
551,65556,2,1605973261,1,"f1e0b5",49,"2020-11-21T15:41:22.000Z"
552,65556,2,1605973261,0,"f1e0b5",0,"2020-11-21T15:41:50.000Z"
553,65556,2,1605973261,0,"f1e0b5",0,"2020-11-21T15:41:50.000Z"
554,65556,2,1605973261,0,"f1e0b5",0,"2020-11-21T15:41:50.000Z"
555,65556,2,1605973261,1,"f1e0b5",0,"2020-11-21T15:41:50.000Z"
556,65556,2,1605973261,1,"f1e0b5",49,"2020-11-21T15:41:51.000Z"
